Model,Top-1,Top-5,Macro Precision,Macro Recall,Macro F1,Weighted F1,Macro AUC (OvR)
vit_b_16,0.7537072856221793,0.9677627337201805,0.7747755564922206,0.716881006382344,0.7261739839590929,0.7487431928597184,0.9793873360970018
swin_v2_t,0.7453255963894262,0.965183752417795,0.7642942264765752,0.7243742235988526,0.7344535050528737,0.7385774515374584,0.9813139428012886
convnext_tiny,0.7001934235976789,0.9587362991618311,0.700487188477234,0.7085180364481066,0.6941735503525208,0.6997250398910263,0.9802146341377602
